,order_1,order_3,expected_values
obj_func_value,0.0038599873332094263,0.00018561831116401624,
lattice,3.022302679,3.022302679,
fermi_energy,-0.05212719088251245,0.011377396258158428,0.3536
delta,1.0762963358025415,0.9753696943495289,0.942
lambda_c,0.0,0.0,0.0040000000000000036
lambda_v,0.032211773001178674,0.030130431765387256,0.069
gamma_0,-0.4757576198301376,-0.561812820575779,
gamma_1,,0.16943582382975877,
gamma_2,,-0.18204885649593,
gamma_3,,-0.14981184681132995,
gamma_4,,-0.03475144505419356,
gamma_5,,0.023039586430771475,
gamma_6,,0.18942980942698595,
